Scientific_Name,Common_Name,Threatened_Status,Listed_SPRAT_TaxonID,Kingdom,Class,Profile,Family,Genus,Species,Description,Image,Image_Author,Habitat,Australian_Distribution,Longitude,Latitude
Balaenoptera borealis,Sei Whale,Vulnerable,34,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=34,Balaenopteridae,Balaenoptera,borealis,"Sei whales are dark grey or blue-grey on their back and sides. The undersides and sides may appear mottled with light coloured circular scars caused by various types of parasites, including scars from the bite of the 'cookie-cutter' shark ( Isistius brasiliensis) (Aguilar 2002).At sexual maturity, sei whales are approximately 12-16 m long, although they can reach lengths of 17.7 m in males and 21 m in females (Gambell 1985). Adult females are about 0.5-0.6 m longer than males, and sei whales of the Southern Hemisphere are larger than those of the Northern Hemisphere (Horwood 1987). The body of the sei whale is slim, streamlined and laterally compressed in the caudal (hind) region.Sounds of the sei whale consist of a series of short pulses with peak energy in the 1.5-3.5 kHz range (Richardson et al. 1995). During a recent Southern Ocean Global Ocean Ecosystems Dynamics (SO-GLOBEC) cruise, acoustic recordings accompanied by photographs and acoustic tracking of a group of sei whales feeding in the Western Antarctic Peninsula provided the first confirmed description of sei whale sounds. Vocalisations included a series of ""growly"" type calls, with tonal calls having abrupt shifts in a much lower dominant frequency (~200-400 Hz) (McDonald & Thiele 2004, pers. comm.).",https://upload.wikimedia.org/wikipedia/commons/e/e3/Sei_whale_mother_and_calf_Christin_Khan_NOAA.jpg,Christin Khan,"The Australian Antarctic waters are important feeding grounds for sei whales, as are temperate, cool waters (Horwood 1987). Sightings of sei whales feeding in the Bonney Upwelling area indicate that this area is potentially also an important feeding ground (Morrice et al. 2004, Gill et al. 2015). Breeding occurs in tropical and subtropical waters.","Sei whales have been infrequently recorded in Australian waters (Bannister et al. 1996). The similarity in appearance of sei whales and Bryde's whales (Balaenoptera edeni) has resulted in confusion about distributional limits and frequency of occurrence, particularly in warmer waters (>20 Â°C) where Bryde's whales are more common. Sei whales were thought to be the most common whales reported by whalers off Albany, Western Australia while hunting sperm whales (Physeter macrocephalus), however, these may have been misidentified Bryde's whales (Bannister et al. 1996). There are several reports of presumed sei whale sightings by fishermen around the shelf edge (50 km offshore) off the coast of NSW. A trawled carcass of a sei whale was reported within 300 km of the Northern Territory coast (Chatto & Warneke 2000). There is one record of a sei whale stranding for Tasmania in 1963 (Warneke 2004, pers. comm.) and another stranding of a sei whale in Tasmania in 1980 (McManus et al. 1984).",,
Balaenoptera musculus,Blue Whale,Endangered,36,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=36,Balaenopteridae,Balaenoptera,musculus,"Both the Antarctic blue whale and pygmy blue whale have common phenotypic traits such as grey skin with mottled patterns, which enables identification of individuals. When submerged, the blue whale appears to be a luminous pale blue or aqua. They have a pronounced 'splashguard' in front of their blowholes, with a single pronounced longitudinal ridge leading forward on the rostrum. Their blow is tall and powerful (approximately 10 m). They have a long, smooth back with a small, variably-shaped dorsal fin set towards the tail (Jefferson et al. 1993). Differences between the two subspecies were first determined by whaling catches in the austral summer feeding season (Attard et al. 2010).Differences between the pygmy blue whale and the Antarctic blue whale include:<ul><li><strong>Morphology</strong>: the Antarctic blue whale is the largest of the two subspecies growing to maximum lengths of over 30 m; in comparison, the pygmy blue whale is recorded growing to 24.1 m (Branch et al. 2009, Attard et al. 2010). Despite this difference, determining subspecies in the field can be difficult (Branch et al. 2009)</li><li><strong>Vocalisations/acoustic calls</strong>: both subspecies produce distinctive acoustic calls that can be used to identify each species as well as provide insight into geographic and seasonal distributions (Stafford et al. 2004, 2011).</li><li><strong>Genetics</strong>: both subspecies are genetically distinct, however diagnostic genetic markers are not available (LeDuc et al. 2007, Attard et al. 2012). The Antarctic and pygmy blue whale have been known to hybridise (Attard et al. 2012).</li><li><strong>Austral summer distribution</strong>: the pygmy blue whale is typically found in more northern areas (north of 54&deg; S) at lower latitudes, throughout the Indian Ocean, whereas the Antarctic blue whale is usually found further south of Australia (60&deg; S), circumpolar wide (Branch et al. 2009, Attard et al. 2010).</li></ul>Blue whale and fin whale hybrids has been documented in five cases (B&eacute;rub&eacute; & Aguilar 1998; Cipriano & Palumbi 1999; Spilliaert et al. 1991). The hybrids - three females and two males - were taken in commercial whaling operations in the Northern Hemisphere.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg/1600px-Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg,NOAA Photo Library,"Blue whale habitat is variable between the two subspecies found in Australian waters. The Antarctic blue whale tends to remain at higher latitudes and migrate to lower latitudes for feeding, breeding and calving during the Australian summer, whilst some remain within the Antarctic waters year-round (Branch 2007, ÃÂ irovic et al. 2009). In comparison, the pygmy blue whale habitat is more diverse, expanding throughout the Indian Ocean, with individuals moving between Australia and the warmer waters of Indonesia (Branch et al. 2007, Double et al. 2014).","Blue whale sightings in Australian waters are widespread, and it is likely that the whales occur around the continent at various times of the year. However, much of the Australian continental shelf and coastal waters have no particular significance to the whales and are used only for migration and opportunistic feeding. The only known areas of significance to the blue whale are feeding areas around the southern continental shelf, notably the Perth Canyon, in Western Australia, and the Bonney Upwelling and adjacent upwelling areas of South Australia and Victoria (DEH 2005).",141.855,-38.2626
Balaenoptera physalus,Fin Whale,Vulnerable,37,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=37,Balaenopteridae,Balaenoptera,physalus,"Fin whales are dark grey to brownish black dorsally, grading to pale or white along the abdomen. The undersides of the flippers and flukes are also white. The head is asymmetrical in colour and is mostly dark but the right lower jaw is white. Baleen plates are black on the left jaw and white on the right jaw. The body is free of mottling or extensive scarring (Leatherwood & Reeves 1983).The fin whale is the second-largest whale species, after the blue whale ( Balaenoptera musculus). Adult whales range between 20 and 27 m long and weigh more than 70 tonnes. As with other baleen whales, female fin whales grow to a larger size than males (Aguilar & Lockyer 1987). The fin whale is very streamlined in appearance, with a distinct ridge along the back behind the dorsal fin. The dorsal fin is set two-thirds of the way along the back, and is up to 60 cm tall, curved and often slopes backwards (Leatherwood & Reeves 1983).Fin whales are more gregarious than other baleen whales, and often occur in groups of 6-10, though single animals and pairs are more common. Aggregations of over 100 whales may be observed on feeding grounds (Watkins et al. 1987).Recordings of regular, pulsed sounds, seemingly of mechanical origin, attracted considerable military interest in the 1950s, and eventually these sounds were conclusively linked to sightings of fin whales (Schevill et al. 1964). Fin whale sounds are mostly 20 Hz or 22 Hz and are short, low-frequency tonal sequences (Nieukirk et al. 2004). Pulsed sounds include a ""rumble"" which is a call of very long duration (about 30 seconds), in the frequency range of 10-30 Hz with extensive frequency and amplitude modulation. The association of these sounds with the reproductive season suggests that they may be used in reproductive displays by males (Watkins et al. 1987).",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Finhval_%281%29.jpg/1597px-Finhval_%281%29.jpg,Aqqa Rosing-Asvid,The Australian Antarctic waters are important feeding grounds for fin whales. Sightings of fin whales feeding in the Bonney Upwelling area indicate that this area is also a potentially important feeding ground (Morrice et al. 2004).,"Australian Waters: Fin whales have been observed during aerial surveys in South Australian waters between November and May (Gill et al. 2015), however, fin whale distribution in Australian waters is known primarily from stranding events and whaling records. Fin whale strandings have been reported in small numbers from Western Australia, South Australia, Victoria and Tasmania (Bannister et al. 1996). Two strandings have been reported in South Australia: one in 1925 off Port Wakefield, the other in 1999 north of Port Lincoln. One stranding was reported in Victoria in 1956 (Larcombe et al. 2002). Two strandings have been reported in Western Australia: one yearling in 1951 near Mandurah, the other in 1996 at Cottesloe (Chittleborough 1996). There are three records of fin whale strandings in Tasmania (McManus et al. 1984). Chittleborough (1996) reported that nine fin whales were taken during the whaling season in Western Australia between 1912 and 1937 and another three in the whaling seasons of 1953, 1956 and 1959. Fin whales have been sighted inshore in the proximity of the Bonney Upwelling, Victoria, in the summer and autumn months during aerial surveys (Gill 2002). Fin whale acoustics have been heard off the Rottnest Trench, Western Australia, between January and April 2000 (McCauley et al. 2000).",,
Megaptera novaeangliae,Humpback Whale,Vulnerable,38,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=38,Balaenopteridae,Megaptera,novaeangliae,"The humpback whale is a moderately large baleen whale. The maximum recorded length is 17.4 m, and females are generally 1.0-1.5 m longer than males (Chittleborough 1965). Southern Hemisphere humpback whales generally have a greater degree of white colouration on their ventral surface compared to darker Northern Hemisphere whales but there is no genetic evidence to support the need for subspecies status (Baker et al. 1990). The humpback whale has distinctive markings on the ventral side and trailing edge of their flukes as well as on their dorsal fins and flanks that are used for individual identification (Katona et al. 1979; Kniest et al. 2010). Their dorsal fin is distinctive from other balaenopterid whales as they have a hump on the leading edge of their dorsal fin.The humpback whale produces a variety of sounds throughout their habitat range. These sounds can be used for foraging, when in distress and in non-mating, social circumstances (Clapham 2000). The most studied vocalisations are songs produced by solitary males. The song frequency ranges from less than 20 Hz to 8 kHz (Payne & McVay 1971; Tyack 1981). A whale can sing for a period of minutes to hours and the song can vary over a range of frequencies with more powerful parts of the song audible over several kilometres underwater (Cato 1991). The exact function of male humpback whale song has yet to be determined but it is believed to be an integral part of male behaviour as a form of sexual display (Tyack 1981). Feeding ground song has only recently been recorded from a Southern Ocean Antarctic feeding area, where song transmission has been hypothesised as a form of cultural transmission between the neighbouring South Pacific populations (Garland et al. 2013).",https://upload.wikimedia.org/wikipedia/commons/6/61/Humpback_Whale_underwater_shot.jpg,,"Migration and Resting: East Coast Population: The eastern Australian humpback whales also migrate in close proximity to the coast of Australia on their way to and from their winter breeding areas (Cato 1991; Paterson et al. 1994; Noad & Cato 2001; Noad 2002). As with the western Australian population, the eastern Australian population also tend to migrate further offshore during their northward migration (Paterson et al. 1994; Noad & Cato 2001). Three major aggregation areas have been previously identified for the eastern Australian population in Queensland around the southern end of the Great Barrier Reef, Hervey Bay and in the Gold Coast region (DEH 2005b). The southern end of the Great Barrier Reef is a suspected calving area (Chaloupka et al. 1999; Smith et al. 2012) while Hervey Bay is considered to be an important resting area (Chaloupka et al. 1999; Paterson et al. 2001; Franklin et al. 2010). On the southward migration, as many as 30% of the eastern Australian population may use Hervey Bay as a resting area (Paterson et al. 2001; Franklin et al. 2010). The breeding area for the eastern population of the humpback whale is presumed to be off the coast between central and northern Queensland (Chittleborough 1965; Dawbin 1966; Smith et al. 2012). Although the exact location is still unknown, recent research using a predictive habitat model developed from incidental sightings data, has isolated two core areas for humpback whale distribution in the southern Great Barrier Reef region: east of Mackay; and further south in the Capricorn and Bunker island groups off Gladstone (Smith et al. 2012). The model identified key habitat parameters of a water depth of 30 to 58 m and sea surface temperatures of 21 to 23 Â¡C. Data collected from satellite tagged whales supported these areas as key areas for the humpback whale in the region. The area east of Mackay (19.5Â¡ S to 21.5Â¡ S) is thought to be an important breeding area whereas the area further south in the Capricorn and Bunker island groups may be used as an important migratory area (Smith et al. 2012). Although further research is required to conclusively identify critical breeding habitats for the humpback whale, the research by Smith and colleagues (2012) has identified key areas on which to focus future surveys. West Coast Population: There are additional areas of potential importance as resting areas around Houtman Abrolhos, Montebello and Barrow islands, although this is still to be determined conclusively (Jenner et al. 2001). During the northern migration, the whales tend to remain further off-shore (Jenner at al. 2001). Data collected from satellite tagged whales found that median distances from shore were less than 25 km and thus in shallow water (<40 m water depth). In the region around Camden Sound however, the median distance from shore was 50 km (<300 m water depth) with the maximum distance recorded over 200 km. Areas such as Shark Bay may also provide resting areas during the northern migration (Jenner at al. 2001). Major breeding areas have been identified for the western Australian population in the Kimberley region and particularly between Lacepede Islands (16.8Â¡ S) and Camden Sound (15.38Â¡ S) (Jenner et al. 2001). Camden sound appears to be the northern most limit for the majority of west coast whales and is considered to be an important breeding area (Jenner et al. 2001). Double and colleagues (2010) found that satellite tagged whales in the area of Camden sound tended to move in an inconsistent direction, which suggests this area is used for breeding.","Both the east coast and west coast Australian populations make their annual migrations between breeding areas in tropical waters along the east and west coast of Australia (15Â° S to 20Â° S) and feeding areas in the Antarctic (south of 56Â° S) (Chittleborough 1965; Dawbin 1966). The east Australian population is currently believed to rely predominately on a feeding area that is between 130Â° E and 170Â° W and the west Australian population on a feeding area that is between 70Â° E and 130Â° E (Chittleborough 1965; IWC 2005, 2006).",145.779,-38.676
Eubalaena australis,Southern Right Whale,Endangered,40,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=40,Balaenidae,Eubalaena,australis,"The southern right whale is a large baleen whale with a less streamlined shape than balaenopterids like the humpback whale (Megaptera novaeangliae). They grow to a maximum length of 17.5 m and weight of 80 t, with mature females often slightly larger than males (Bannister et al. 1996). The mean length of sexually mature females off the South African coast was calculated as 13.85 m (Best & Ruther 1992) and off Argentina as 13.66 m (Whitehead & Payne 1981). Mature females in Soviet catches from the Southern Ocean averaged 14.34 m (Tormosov et al. 1998). Southern Right Whales are about 5.5 m long and 1000-1500 kg at birth and physical maturity is reached at a length of 16 m (Bannister et al. 1996). Age at physical maturity is unknown (Bannister et al. 1996). The vast majority of southern right whale individuals are uniformly black in colour, often with a white ventral blaze of varying size and shape centred on the umbilicus. About 2.8 % of adults are mottled dark brown to grey, having been white with varying degrees of black marking at birth (Bannister 1990). A small number of adults (1.4-3.4 %) have white dorsal blazing (Bannister 1990). The pectoral fins are short and paddle like, the flukes are uniform in colour with smooth trailing edges, and there is no dorsal fin. A distinctive feature is the presence of whitish or yellowish callosities on the rostrum, chin and lower jaw. These are formed as roughened patches of keratinised skin and colonised by cyamids (small crustaceans known as 'whale lice') (Cummings 1985a). Callosity patterns are present at birth and persist with minor variation through life, such that individual southern right whales can be identified by the number and configuration of callosities (Payne et al. 1983). They provide the basis for studies relying on an ability to recognise individuals from natural markings over long time frames (Best 1990e; Burnell & Bryden 1997; Payne 1986). The southern right whale head is large compared to body size and the jaw line strongly arched (Jefferson et al. 1993). Baleen plates number from 205-270 and the baleen is usually, dark, very fine, and long (maximum 2.2 m) in comparison to other species (Cummings 1985a). Blubber thickness has been recorded from Soviet catch data as 14-17 cm for a 10 m whale and 23-24 cm for a 15 m whale (Tormosov et al. 1998).",https://upload.wikimedia.org/wikipedia/commons/c/c2/Southern_right_whale6.jpg,MichaÃ¢ÂÂl CATANZARITI,"Feeding Habitat: The feeding habitat of the southern right whale is very poorly known and there have been no dedicated studies in feeding areas. Based on sightings information, most feeding areas are thought to be in deeper offshore waters ranging from sub-Antarctic areas to locations south of 60Â¡ S (Bannister et al. 1997, 1999; Goodall & Galeazzi 1986; Ohsumi & Kasamatsu 1986; Tormosov et al. 1998) in areas probably associated with climatic and environmental conditions generating high productivity. A single coastal feeding area has been identified off the west coast of Africa where upwelling and thermocline development is apparent, and oceanographic conditions are thought to provide suitable feeding conditions (Best et al. 2002). Breeding Habitat: Differential use of habitat by calving and non-calving whales has been noted off Australia (Burnell & Bryden 1997), South Africa (Best 1981) and Argentina (Payne 1986), perhaps implying habitat selection within calving grounds. The southern right whale prefers near-shore, shallow water depths and being in close proximity to other individuals whilst on calving grounds in Australian waters (Pirzl 2008). In breeding areas, non-calving whales are highly social whilst calving whales remain apart from robust socialising groups (Pirzl 2008). Habitat selection and habitat use on Australian calving grounds is influenced by breeding status and/or the type of calving ground, in addition to other environmental factors such as swell height (Pirzl 2008). The southern right whale is constrained in their ability to colonise unused areas of potentially suitable habitat due to a high degree of site fidelity (individuals returning to the same breeding site each year). This combined with previous exploitation history suggesting extirpation of migratory traditions to these sites (Carroll et al. 2015; Pirzl 2008).",The southern right whale is seasonally present along the Australian coast between late April and early November. It has been recorded in the coastal waters of all Australian states with the exception of the Northern Territory (Bannister et al. 1996).,142.5208,-38.4042
Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,77,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77,Muridae,Pseudomys,shortridgei,"The heath mouse occurs in species-rich and structurally complex heathland and woodland in two disjunct areas in south-west Western Australia and around the southern border of South Australia and Victoria. The Grampians National Park is considered a stronghold for the species in Victoria. In Western Australia, the species has not been located in vegetation less than 10 years after fire, and the highest densities of the species have been recorded in vegetation 30 years after fire. In Victoria, highest densities have been recorded 5-15 years after fire. The species is a generalist herbivore and is active in the late afternoon and early evening and again in the morning. The species utilises well defined runways and establishes surface nests or shallow burrows amongst dense ground cover. Threats to the species include habitat clearing and fragmentation, increased fire frequency and predation.",https://collections.museumvictoria.com.au/content/media/21/671721-small.jpg,"David Paul, Museums Victoria",,,142.61,-37.19
Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,88,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88,Muridae,Pseudomys,fumeus,"The Konoom is an Australian native rodent with pale grey to black fur, a grey to white belly and ears and feet that are flesh-coloured with sparse white hair. A ring of dark hairs may be present around the eye. The length of individuals, including the tail, is between 180-250 mm. The tail is narrow, flexible, sparsely furred, and white to pale pinkish grey underneath with a narrow dark strip along its upper surface and up to 145 mm in length. The ears are 18-22 mm long and the hind feet 25-29 mm long. Adult weight varies widely between 25-86 g (Edwards 2009; Ford 2008; NSW OEH 2012; Menkhorst 2003).Animals from the Grampians and Otway Range in western Victoria tend to be larger and darker than those from east of Melbourne (Menkhorst & Knight 2001; Menkhorst & Seebeck unpub. data cited in Menkhorst 2003) and NSW (ACT TAMS 1999a).",https://www.environment.nsw.gov.au/threatenedspeciesapp/ImageHandler.ashx?graphicsId=45733&maxWidth=150,Jackie Miles and Linda Broome,"The Konoom occurs in a wide variety of habitats, from heath to dry sclerophyll forest, especially along ridgetops with a heath understorey, and occasionally adjacent wetter habitats such as fern gullies. A characteristic of many localities, except those in wet gullies, is a floristically diverse shrub layer with members of the plant families Epacridaceae, Fabaceae and Mimosaceae well represented (Cockburn 1981a; Ford et al. 2003; Jurskis et al. 1997; Lee 1995; Menkhorst & Seebeck 1981). Ground cover is often dense and low, such as occurs in heaths, or grass tussocks, rocks and logs in more open habitats that provides shelter sites. Soil conditions also need to be conducive to burrowing and growth of hypogeal fungi, a major component of the diet (Menkhorst & Broome 2008a; Menkhorst 2003). Nesting burrows have been found in rocky localities among tree roots and under the skirts of Grass Trees (Xanthorrhoea spp.) (NSW NPWS 1999bu; NSW OEH 2012).","The Konoom occurs in Victoria, NSW and the ACT, over a wide but disjunct distribution with small and fragmented populations (Menkhorst & Broome 2008a). The species was first recorded in NSW and the ACT in 1985 (Menkhorst & Broome 2008a). Despite rigorous survey efforts, the species has not been reported from the Otway Ranges or the Australian Capital Territory since the 1980s, or from East Gippsland since 1990 (Seebeck and Menkhorst 2000; Menkhorst and Broome 2008a; Nelson et al. 2010 all cited in Burns et al. 2016).",142.5,-37.17
Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,89,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89,Muridae,Pseudomys,gouldii,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Pseudomys_gouldii_-_Gould.jpg,John Gould,,,141.92,-34.12
Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,96,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=96,Muridae,Pseudomys,novaehollandiae,"A small, burrowing native rodent, the New Holland Mouse is similar in size and appearance to the introduced House Mouse ( Mus musculus), although it can be distinguished by its slightly larger ears and eyes, the absence of a notch on the upper incisors and the absence of a distinctive 'mousy odour' (Menkhorst & Knight 2001).The New Holland Mouse body is grey-brown in colour and with a dusky-brown tail that is darker on the dorsal side. The species has a head-body length of approximately 65-90 mm, a tail length of approximately 80-105 mm (10-15% longer than the body) and a hind foot length of approximately 20-22 mm (Menkhorst & Knight 2001).Specimens of the New Holland Mouse from Tasmania are larger in weight than specimens from New South Wales (NSW) and Victoria; however, head-body length and skull measurements are similar between the Tasmanian and mainland forms of the species (Hocking 1980; Lazenby 1999; Tas. TSS 2009).",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Pseudomys_novaehollandiae.jpg/440px-Pseudomys_novaehollandiae.jpg,Doug Beckers,"Landforms : The New Holland Mouse has been found from coastal areas and up to 100 km inland on sandstone country (Wilson & Laidlaw 2003). The species has been recorded from sea level up to around 900 m above sea level (Menkhorst et al. 2008). Soils: Soil type may be an important indicator of suitability of habitat for the New Holland Mouse, with deeper top soils and softer substrates being preferred for digging burrows (Wilson & Laidlaw 2003).  In Victoria, the species has been recorded on deep siliceous podsols, sandy clay, loamy sands, sand dunes and coastal dunes (Menkhorst & Seebeck 1995 cited in Wilson & Laidlaw 2003). Other factors such as slope, geology and the amount of sun received in an area may also influence site selection (Wilson & Laidlaw 2003). Vegetation associations: Across the species' range, the New Holland Mouse is known to inhabit the following types of habitat  (Fox & Fox 1978; Fox & Mckay 1981; Hocking 1980; Keith & Calaby 1968; Lazenby et al. 2008; Norton 1987; Posamentier & Recher 1974; Pye 1991; Wilson 1991): open heathland, open woodland with a healthland understorey.","General distribution: The New Holland Mouse has a fragmented distribution across Tasmania, Victoria, NSW and Queensland. The species is now largely restricted to the coast of central and northern NSW, with one inland occurrence near Parkes (ACT ESDD 2013). In 2006, there were six to eight metapopulations of the species based on data from the NSW Atlas of Wildlife, the Victorian Atlas of Wildlife and the Tasmanian Natural Values Atlas (TSSC 2010j). At a landscape scale, the species appears to be clumped in its distribution, most likely due to its specific habitat requirements (Braithwaite & Gullan 1978; Fox & Fox 1978; Fox & Mckay 1981; Posamentier & Recher 1974). Historically, there were eleven metapopulations (TSSC 2010j). Lack of survey data: A high percentage of New Holland Mouse populations were not surveyed between 1999 and 2009 (TSSC 2010j), and thus, it is difficult to estimate the species' actual distribution. However, given the number of sites from which the species is known to have disappeared between 1999 and 2009, it is possible that the species' distribution is actually less than current estimates (TSSC 2010j).",145.18,-38.27
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,131,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=131,Muridae,Conilurus,albipes,"The White-footed Rabbit-rat was an attractive squirrel-like rodent with a combined head and body length of 23 -26 cm and a tail length of 22 -24 cm. Its weight was estimated at around 200 g. The species' most distinctive feature was its long, bushy, bi-coloured tail, which was dark brown above and white below. Although smaller than a rabbit, the White-footed Rabbit-rat's colour and large, broad ears gave it a superficial resemblance to the rabbit. As all specimens were collected during the first half of the 19th century, most descriptions of the animal come from the work of Gould (1863), who worked in Australia in the 1840s. Gould described this species as having long, soft fur which was grey with ashy-brown tips. The back of the animal had many fine black hairs that were intermixed with these brown tips. The whiskers were black and there was a narrow black line around the eye. The underside of the animal, the inner surface of the limbs and the feet were white. Gould noted there was some colour variation between animals from different regions (Flannery 1990a).",https://upload.wikimedia.org/wikipedia/commons/0/09/Conilurus_albipes_-_Gould.jpg,John Gould,The White-footed Rabbit-rat was known to inhabit open forest woodlands and grassy ecosystems in Victoria (Seebeck & Menkhorst 2000). Habitat information is not known for other states in which the species occurred.,"The White-footed Rabbit-rat was endemic to Australia, where it appears to have been distributed in south-eastern South Australia, Victoria, southern and eastern New South Wales and possibly in extreme south-eastern Queensland (Baillie 2008).",,
