Scientific_Name,Common_Name,Threatened_Status,Listed_SPRAT_TaxonID,Kingdom,Class,Profile,Family,Genus,Species,Description,Image,Image_Author,Habitat,Australian_Distribution,Longitude,Latitude
Balaenoptera musculus,Blue Whale,Endangered,36,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=36,Balaenopteridae,Balaenoptera,musculus,"Both the Antarctic blue whale and pygmy blue whale have common phenotypic traits such as grey skin with mottled patterns, which enables identification of individuals. When submerged, the blue whale appears to be a luminous pale blue or aqua. They have a pronounced 'splashguard' in front of their blowholes, with a single pronounced longitudinal ridge leading forward on the rostrum. Their blow is tall and powerful (approximately 10 m). They have a long, smooth back with a small, variably-shaped dorsal fin set towards the tail (Jefferson et al. 1993). Differences between the two subspecies were first determined by whaling catches in the austral summer feeding season (Attard et al. 2010).Differences between the pygmy blue whale and the Antarctic blue whale include:<ul><li><strong>Morphology</strong>: the Antarctic blue whale is the largest of the two subspecies growing to maximum lengths of over 30 m; in comparison, the pygmy blue whale is recorded growing to 24.1 m (Branch et al. 2009, Attard et al. 2010). Despite this difference, determining subspecies in the field can be difficult (Branch et al. 2009)</li><li><strong>Vocalisations/acoustic calls</strong>: both subspecies produce distinctive acoustic calls that can be used to identify each species as well as provide insight into geographic and seasonal distributions (Stafford et al. 2004, 2011).</li><li><strong>Genetics</strong>: both subspecies are genetically distinct, however diagnostic genetic markers are not available (LeDuc et al. 2007, Attard et al. 2012). The Antarctic and pygmy blue whale have been known to hybridise (Attard et al. 2012).</li><li><strong>Austral summer distribution</strong>: the pygmy blue whale is typically found in more northern areas (north of 54&deg; S) at lower latitudes, throughout the Indian Ocean, whereas the Antarctic blue whale is usually found further south of Australia (60&deg; S), circumpolar wide (Branch et al. 2009, Attard et al. 2010).</li></ul>Blue whale and fin whale hybrids has been documented in five cases (B&eacute;rub&eacute; & Aguilar 1998; Cipriano & Palumbi 1999; Spilliaert et al. 1991). The hybrids - three females and two males - were taken in commercial whaling operations in the Northern Hemisphere.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg/1600px-Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg,NOAA Photo Library,"Blue whale habitat is variable between the two subspecies found in Australian waters. The Antarctic blue whale tends to remain at higher latitudes and migrate to lower latitudes for feeding, breeding and calving during the Australian summer, whilst some remain within the Antarctic waters year-round (Branch 2007, ÃÂÃÂ irovic et al. 2009). In comparison, the pygmy blue whale habitat is more diverse, expanding throughout the Indian Ocean, with individuals moving between Australia and the warmer waters of Indonesia (Branch et al. 2007, Double et al. 2014).","Blue whale sightings in Australian waters are widespread, and it is likely that the whales occur around the continent at various times of the year. However, much of the Australian continental shelf and coastal waters have no particular significance to the whales and are used only for migration and opportunistic feeding. The only known areas of significance to the blue whale are feeding areas around the southern continental shelf, notably the Perth Canyon, in Western Australia, and the Bonney Upwelling and adjacent upwelling areas of South Australia and Victoria (DEH 2005).",141.855,-38.2626
Eubalaena australis,Southern Right Whale,Endangered,40,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=40,Balaenidae,Eubalaena,australis,"The southern right whale is a large baleen whale with a less streamlined shape than balaenopterids like the humpback whale (Megaptera novaeangliae). They grow to a maximum length of 17.5 m and weight of 80 t, with mature females often slightly larger than males (Bannister et al. 1996). The mean length of sexually mature females off the South African coast was calculated as 13.85 m (Best & Ruther 1992) and off Argentina as 13.66 m (Whitehead & Payne 1981). Mature females in Soviet catches from the Southern Ocean averaged 14.34 m (Tormosov et al. 1998). Southern Right Whales are about 5.5 m long and 1000-1500 kg at birth and physical maturity is reached at a length of 16 m (Bannister et al. 1996). Age at physical maturity is unknown (Bannister et al. 1996). The vast majority of southern right whale individuals are uniformly black in colour, often with a white ventral blaze of varying size and shape centred on the umbilicus. About 2.8 % of adults are mottled dark brown to grey, having been white with varying degrees of black marking at birth (Bannister 1990). A small number of adults (1.4-3.4 %) have white dorsal blazing (Bannister 1990). The pectoral fins are short and paddle like, the flukes are uniform in colour with smooth trailing edges, and there is no dorsal fin. A distinctive feature is the presence of whitish or yellowish callosities on the rostrum, chin and lower jaw. These are formed as roughened patches of keratinised skin and colonised by cyamids (small crustaceans known as 'whale lice') (Cummings 1985a). Callosity patterns are present at birth and persist with minor variation through life, such that individual southern right whales can be identified by the number and configuration of callosities (Payne et al. 1983). They provide the basis for studies relying on an ability to recognise individuals from natural markings over long time frames (Best 1990e; Burnell & Bryden 1997; Payne 1986). The southern right whale head is large compared to body size and the jaw line strongly arched (Jefferson et al. 1993). Baleen plates number from 205-270 and the baleen is usually, dark, very fine, and long (maximum 2.2 m) in comparison to other species (Cummings 1985a). Blubber thickness has been recorded from Soviet catch data as 14-17 cm for a 10 m whale and 23-24 cm for a 15 m whale (Tormosov et al. 1998).",https://upload.wikimedia.org/wikipedia/commons/c/c2/Southern_right_whale6.jpg,MichaÃÂ¢ÃÂÃÂl CATANZARITI,"Feeding Habitat: The feeding habitat of the southern right whale is very poorly known and there have been no dedicated studies in feeding areas. Based on sightings information, most feeding areas are thought to be in deeper offshore waters ranging from sub-Antarctic areas to locations south of 60ÃÂ¡ S (Bannister et al. 1997, 1999; Goodall & Galeazzi 1986; Ohsumi & Kasamatsu 1986; Tormosov et al. 1998) in areas probably associated with climatic and environmental conditions generating high productivity. A single coastal feeding area has been identified off the west coast of Africa where upwelling and thermocline development is apparent, and oceanographic conditions are thought to provide suitable feeding conditions (Best et al. 2002). Breeding Habitat: Differential use of habitat by calving and non-calving whales has been noted off Australia (Burnell & Bryden 1997), South Africa (Best 1981) and Argentina (Payne 1986), perhaps implying habitat selection within calving grounds. The southern right whale prefers near-shore, shallow water depths and being in close proximity to other individuals whilst on calving grounds in Australian waters (Pirzl 2008). In breeding areas, non-calving whales are highly social whilst calving whales remain apart from robust socialising groups (Pirzl 2008). Habitat selection and habitat use on Australian calving grounds is influenced by breeding status and/or the type of calving ground, in addition to other environmental factors such as swell height (Pirzl 2008). The southern right whale is constrained in their ability to colonise unused areas of potentially suitable habitat due to a high degree of site fidelity (individuals returning to the same breeding site each year). This combined with previous exploitation history suggesting extirpation of migratory traditions to these sites (Carroll et al. 2015; Pirzl 2008).",The southern right whale is seasonally present along the Australian coast between late April and early November. It has been recorded in the coastal waters of all Australian states with the exception of the Northern Territory (Bannister et al. 1996).,142.5208,-38.4042
Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,77,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77,Muridae,Pseudomys,shortridgei,"The heath mouse occurs in species-rich and structurally complex heathland and woodland in two disjunct areas in south-west Western Australia and around the southern border of South Australia and Victoria. The Grampians National Park is considered a stronghold for the species in Victoria. In Western Australia, the species has not been located in vegetation less than 10 years after fire, and the highest densities of the species have been recorded in vegetation 30 years after fire. In Victoria, highest densities have been recorded 5-15 years after fire. The species is a generalist herbivore and is active in the late afternoon and early evening and again in the morning. The species utilises well defined runways and establishes surface nests or shallow burrows amongst dense ground cover. Threats to the species include habitat clearing and fragmentation, increased fire frequency and predation.",https://collections.museumvictoria.com.au/content/media/21/671721-small.jpg,"David Paul, Museums Victoria",,,142.61,-37.19
Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,88,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88,Muridae,Pseudomys,fumeus,"The Konoom is an Australian native rodent with pale grey to black fur, a grey to white belly and ears and feet that are flesh-coloured with sparse white hair. A ring of dark hairs may be present around the eye. The length of individuals, including the tail, is between 180-250 mm. The tail is narrow, flexible, sparsely furred, and white to pale pinkish grey underneath with a narrow dark strip along its upper surface and up to 145 mm in length. The ears are 18-22 mm long and the hind feet 25-29 mm long. Adult weight varies widely between 25-86 g (Edwards 2009; Ford 2008; NSW OEH 2012; Menkhorst 2003).Animals from the Grampians and Otway Range in western Victoria tend to be larger and darker than those from east of Melbourne (Menkhorst & Knight 2001; Menkhorst & Seebeck unpub. data cited in Menkhorst 2003) and NSW (ACT TAMS 1999a).",https://www.environment.nsw.gov.au/threatenedspeciesapp/ImageHandler.ashx?graphicsId=45733&maxWidth=150,Jackie Miles and Linda Broome,"The Konoom occurs in a wide variety of habitats, from heath to dry sclerophyll forest, especially along ridgetops with a heath understorey, and occasionally adjacent wetter habitats such as fern gullies. A characteristic of many localities, except those in wet gullies, is a floristically diverse shrub layer with members of the plant families Epacridaceae, Fabaceae and Mimosaceae well represented (Cockburn 1981a; Ford et al. 2003; Jurskis et al. 1997; Lee 1995; Menkhorst & Seebeck 1981). Ground cover is often dense and low, such as occurs in heaths, or grass tussocks, rocks and logs in more open habitats that provides shelter sites. Soil conditions also need to be conducive to burrowing and growth of hypogeal fungi, a major component of the diet (Menkhorst & Broome 2008a; Menkhorst 2003). Nesting burrows have been found in rocky localities among tree roots and under the skirts of Grass Trees (Xanthorrhoea spp.) (NSW NPWS 1999bu; NSW OEH 2012).","The Konoom occurs in Victoria, NSW and the ACT, over a wide but disjunct distribution with small and fragmented populations (Menkhorst & Broome 2008a). The species was first recorded in NSW and the ACT in 1985 (Menkhorst & Broome 2008a). Despite rigorous survey efforts, the species has not been reported from the Otway Ranges or the Australian Capital Territory since the 1980s, or from East Gippsland since 1990 (Seebeck and Menkhorst 2000; Menkhorst and Broome 2008a; Nelson et al. 2010 all cited in Burns et al. 2016).",142.5,-37.17
Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,89,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89,Muridae,Pseudomys,gouldii,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Pseudomys_gouldii_-_Gould.jpg,John Gould,,,141.92,-34.12
Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",Extinct,136,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=136,Muridae,Leporillus,apicalis,"The Lesser Stick-nest Rat was a moderately sized native rodent (body mass 60 g) that differed from its larger relative, the Greater Stick-nest Rat, by the narrow brush of white hairs near the tip of its tail (Krefft 1866).",https://upload.wikimedia.org/wikipedia/commons/7/75/Leporillus_apicalis_-_Gould.jpg,John Gould,The Lesser Stick-nest Rat occupied arid and semi-arid lands (Burbidge et al. 1988; Cole & Woinarski 2000).,"The last specimen of the Lesser Stick-nest Rat was captured near Mt Crombie, south-west of the present Amata settlement, South Australia in 1933. However, in the nineteenth century it occupied a broad area stretching from the Riverina in New South Wales, through most of inland South Australia and into the Gibson Desert, reaching the Western Australian coast in the Gascoyne region (Baynes & Johnson 1996; Burbidge et al. 1988; Cole & Woinarski 2000; Finlayson 1961).",142.15,-34.18
Potorous longipes,Long-footed Potoroo,Endangered,217,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=217,Potoroidae,Potorous,longipes,"The Long-footed Potoroo is a medium-sized, hopping marsupial with grey-brown fur on the back and pale grey fur underneath. It grows to an average body length of 40 cm, with a tail length of 32 cm. Adults males can weigh up to 2.2 kg and females up to 1.7 kg (Seebeck 1998). It is silent except for a low  kiss kiss sound made between mothers and young, or when under stress (NSW NPWS 1999).",https://www.environment.nsw.gov.au/threatenedspeciesapp/ImageHandler.ashx?graphicsId=22657&maxWidth=150,Viridans,"The habitat of the Long-footed Potoroo includes temperate rainforest, riparian forest and wet sclerophyll forest (Nunan et al. 2000). It occurs at a range of elevations from around 100 m (East Gippsland) to greater than 1200 m (the Victorian Alps). The species occurs in vegetation communities with constantly moist soil. Within its range in NSW, such vegetation is restricted mainly to riparian (riverside) areas (NSW NPWS 2002b). Trees in these communities include Lilly Pilly (Acmena smithii), Messmate (Eucalyptus obliqua), Mountain Grey Gum (Eucalyptus cypellocarpa), Brown Barrel (Eucalyptus fastigata) and Blackwood (Acacia melanoxylon). Understorey plants include Forest Wire-grass (Tetrarrhena juncea), Red-fruit Saw-sedge (Gahnia sieberiana), other sedges Carex and Cyperus spp., and ferns. In Victoria it always occurs in or near (usually within 250 m of) damp forest types (Jones 1998; Jones & Johnson 1997).The species needs dense cover to provide shelter and protection from predators. During the day, the Long-footed Potoroo nests beneath ferns, grass or sedge tussocks, or fallen timber (Jones & Johnson 1997; Lewis & Thulin 1995; Triggs 1998). One nest was made of bracken and coarse grass, lined with fine grass and Long-footed Potoroo hair (Jones & Johnson 1997). The species appears to prefer a sheltered aspect, a mixed species overstorey and a dense understorey for both resting and foraging (Nunan et al. 2000). One study, based on trapping records, found that Long-footed Potoroos use cool moist gullies more often during drier times of the year (spring and summer), avoiding drier ridges and slopes (Scotts & Seebeck 1989). A later study using trapping and radio-tracking in the same area found that they use both gullies and slopes, and more captures were on upper slopes, perhaps because they used more of the open vegetation after introduced predators were controlled (Green et al. 1998).","The Long-footed Potoroo occurs in Victoria and NSW in the following locations:Populations of the Long-footed Potoroo in Victoria    <ul>  East Gippsland, north-east of Orbost, in the catchments of the Brodribb River, Bemm River, Rodger River and Yalmy River. This population is bounded by the Rodger River, Mount Ellery, the McKenzie River, and Pinnak Road. Based on part of a skull found in a predator scat, there may be a separate population around 45 km further east near Mount Drummer, east of the Cann River (Claridge 2002; NSW NPWS 2002b; VDSE 2003).     .  The Alpine National Park region of north-eastern Victoria, between Mt Feathertop and Mt Buller, concentrated in the region bounded by Mt Sarah, Mt Selwyn, the Cobbler Plateau, Mt Speculation, Mt Howitt and Mt Darling, in the West Buffalo, East Riley and Tea Tree Range areas of the Barry Mountains. This population is 170 km west of the closest known record from East Gippsland (Jones 1998; Jones & Johnson 1997). The Long-footed Potoroo also occurs north of Harrietville, 23 km from the area containing most of the other records, and probably occurs in the Buckland Valley (based on hair in a bird nest and predator scats) (Jones & Johnson 1997)..</ul>",148.81721000000005,-37.65219
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",Endangered,239,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=239,Macropodidae,Onychogalea,fraenata,"The Bridled Nail-tail Wallaby is a highly solitary, medium-sized macropod; up to 1 m tall and weighing up to 8 kg (males). The species has distinctive markings of a white 'bridle' line running from the centre of the neck, along the shoulder to behind the forearm on each side of the body. A black stripe runs the length of the body, and white cheek stripes are present on both sides of the head. A horny 'nail' occurs at the tip of the tail, is between 3-6mm and is partly concealed by hair (Evans 1992 cited in Lundie-Jenkins 2001).The species has a high level of sexual dimorphism and males may be up to twice as large as females (Sigg & Goldizen 2006).",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bridled_nailtail_wallaby-female-01.JPG/1024px-Bridled_nailtail_wallaby-female-01.JPG,DiverDave,"Current Distribution: The Bridled Nail-tail Wallaby occurs in woodland, particularly in Brigalow (Acacia harpophylla) scrub, preferring areas with the most fertile soil (Lundie-Jenkins 2001). During the day (when they are resting), Bridled Nail-tail Wallabies prefer habitat that consists of young Brigalow regrowth or contains fallen logs (Evans 1996). They shelter beneath shrubs, in large grass tussocks, and inside hollow logs. Adults prefer logs where available (Fisher & Goldizen 2001) but also used grass shelters as the biomass of grass increases after a drought, enabling them to shelter closer to feeding areas. They generally choose shelter sites with the densest cover of foliage and stems at Bridled Nail-tail Wallaby height (25-50 cm), and this type of shelter is concentrated at the edges of wooded areas such as Brigalow regrowth (Fisher 2000). At night (when they are feeding), they prefer the ecotone habitat containing both pasture and young Brigalow regrowth (Evans 1996). When feeding in open pasture, they prefer to stay close to the edge of shelter habitat (Evans 1996). The Bridled Nail-tail Wallaby occurs in woodland, particularly in Brigalow (Acacia harpophylla) scrub, preferring areas with the most fertile soil (Lundie-Jenkins 2001). During the day (when they are resting), Bridled Nail-tail Wallabies prefer habitat that consists of young Brigalow regrowth or contains fallen logs (Evans 1996). They shelter beneath shrubs, in large grass tussocks, and inside hollow logs. Adults prefer logs where available (Fisher & Goldizen 2001) but also used grass shelters as the biomass of grass increases after a drought, enabling them to shelter closer to feeding areas. They generally choose shelter sites with the densest cover of foliage and stems at Bridled Nail-tail Wallaby height (25-50 cm), and this type of shelter is concentrated at the edges of wooded areas such as Brigalow regrowth (Fisher 2000). At night (when they are feeding), they prefer the ecotone habitat containing both pasture and young Brigalow regrowth (Evans 1996). When feeding in open pasture, they prefer to stay close to the edge of shelter habitat (Evans 1996). On the north western section of Taunton National Park (Scientific), the Bridled Nail-tail Wallaby is found in all four of the major vegetation types; open grassy eucalypt woodland dominated by Poplar Box (Eucalyptus populnea), dense Acacia forest dominated by Brigalow, transitional vegetation intermediate between the woodland and forest, and in areas of very dense Brigalow regrowth (Tierney 1985). After clearing, Brigalow grows back from root stock, forming dense thickets. Older Brigalow regrowth has sparse foliage in the 0-1 m height range, but has a closed canopy above this height. Younger regrowth forms patches of small dense bushes, obscuring visibility below 1 m. At Idalia National Park, reintroduced Bridled Nail-tail Wallabies use open woodland as well as Brigalow regrowth, and also use Wilga bushes (Geijera parviflora) as shelter habitat (Veldman 1998 cited in Pople et al. 2001). Bridled Nail-tail Wallabies prefer vegetation edges: in the mid 1980s, they were most likely to occur in a narrow band of vegetation at the interface between dense Acacia scrub and open grassy eucalypt woodland in the north west of the Park (Tierney 1985). In the mid 1990s when the Brigalow regrowth in the north east of the Park had reached 2-3 m in height, they preferred the area where Brigalow regrowth abuts pasture there, and the area where rosewood (Acacia rhodoxylon) and Eucalypt woodland borders open alluvial flats in the centre of the Park. In both areas, the feeding ranges of many wallabies are concentrated at former cattle yards, where food is plentiful due to the fertile soil (Fisher 2000).","TheÃÂ Bridled Nail-tail Wallaby is confined to Taunton National Park (Scientific) (an area of 11 000 ha) near the town of Dingo with some sightings within 10 km of the park (Davidson 1991; Lundie-Jenkins 2001). Population genetics and radio-tracking studies have shown that the populations at different localities within Taunton National Park (Scientific) are not isolated, but connected through frequent juvenile dispersal (Fisher 1999a). One reintroduced population is confined to a smaller section of Idalia National Park in Western Queensland (Pople et al. 2001), and another exists at Avocet Nature Refuge near Emerald, in Central Queensland (Lundie-Jenkins & Lowry 2005). Another population has been re-introducedÃÂ at Scotia Sanctuary (64 000 ha), 150 km south of Broken Hill (Finlayson et al. 2008).There was a captive population of the Bridled Nail-tail Wallaby at Pallarenda near Townsville between 1991 and 2004. There is currently a captive population at David Fleay Wildlife Park in Queensland (Johnson 1997; Lundie-Jenkins & Lowry 2005), and at Western Plains Zoo, Taronga Zoo, Scotia Sanctuary, and Genaren Hill Sanctuary in New South Wales (Lundie-Jenkins 2001; Lundie-Jenkins & Lowry 2005).At the time of European settlement, Bridled Nail-tail Wallabies were abundant in eastern Australia to the west of the Great Dividing Range. Reports by naturalists Gilbert (reported in Gould 1863), Gould (1863)and Collet (1887 cited in Gordon and Lawrie 1980) indicate that in the mid-nineteenth century, the species ranged from the Murray River region of north-western Victoria (possibly into eastern South Australia), through central New South Wales, and north to Charters Towers in Queensland (Evans & Gordon 1995). The species' range declined dramatically around 1900, and there were no confirmed sightings reported during the period 1937-1973 (Lundie-Jenkins 2001). However, the Bridled Nail-tail Wallaby was said to occur 50 km outside Tambo (in central Queensland) in a letter to David Fleay by J.K. Wilson in 1963 (Lavery & Tierney 1985).ÃÂ Onychogalea fraenataÃÂ was rediscovered near Dingo, Queensland, in 1973, and confirmed to be present on the adjacent properties of Taunton and Red Hill, and a few neighbouring properties within a 10 km radius (Gordon & Lawrie 1980).",141.92,-34.12
Lagorchestes leporides,Eastern Hare-wallaby,Extinct,246,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=246,Macropodidae,Lagorchestes,leporides,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Eastern_Hare-wallaby_Pengo.jpg/440px-Eastern_Hare-wallaby_Pengo.jpg,Peter Halasz,,,144.2,-35.98
Burramys parvus,Mountain Pygmy-possum,Endangered,267,Animalia,Mammalia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=267,Burramyidae,Burramys,parvus,"Mountain Pygmy-possum adults average 40 grams but vary from 30 grams in spring up to 80 grams in autumn when they fatten for winter hibernation. Of the total length of 250 mm, over half is tail. The fur is dense and fine, grey-brown above and creamy to bright fawn under the body. The nose is pink and there are dark shadows around the eyes. The tail, which can be coiled, is furred for 2 cm at its base, then greyish-pink, with short, sparse hairs. In its mountain habitat, this species could only be mistaken for a House Mouse, but its larger size, part furry and coiled tail, 5 (not 4) front toes, and joined (syndactyl) second and third back toes should be enough to distinguish it.",https://www.environment.nsw.gov.au/threatenedspeciesapp/ImageHandler.ashx?graphicsId=43328&maxWidth=150,"Linda Broome, OEH",,,147.15,-36.98
